0	Ag	Al	As	Au	B	Ba	Be	Bi	Br	C	Ca	Cd	Ce	Cl	Co	Cr	Cs	Cu	Dy	F	Fe	Ga	Gd	Ge	H	Hg	I	In	Ir	K	La	Li	Mg	Mn	Mo	N	Na	Nb	Nd	Ni	O	P	Pb	Pd	Pt	REE	Rb	Rh	Ru	S	Sb	Sc	Se	Si	Sm	Sn	Sr	Ta	Te	Th	Ti	Tl	U	V	W	Y	Zn	Zr
Nb	0	6	2	0	3	11	0	0	0	4	23	0	4	5	0	0	1	0	0	8	13	0	0	0	41	0	0	0	0	19	1	0	4	17	3	0	33	0	1	0	56	2	1	0	0	3	0	0	0	3	0	2	0	34	0	0	8	8	0	1	28	0	1	0	1	4	2	11
Nd	0	3	0	0	0	0	0	0	0	5	5	0	4	0	0	0	1	2	0	3	2	0	0	0	6	0	0	0	0	0	4	0	0	2	0	0	2	1	0	0	11	1	0	0	0	1	0	0	0	3	0	0	0	4	1	0	0	0	0	0	1	0	2	0	0	3	0	0
Ni	0	3	11	0	1	0	0	3	0	2	2	0	0	3	1	0	0	6	0	0	6	0	0	1	9	1	0	0	1	0	0	0	3	0	3	0	0	0	0	0	16	7	1	2	0	0	0	2	0	14	6	0	1	2	0	1	0	0	2	0	0	1	2	1	0	0	0	0
O	3	226	168	0	80	69	37	17	6	99	330	5	37	103	7	21	17	119	2	109	243	4	2	9	691	13	7	0	0	163	19	45	170	157	26	33	318	56	11	16	0	154	77	0	0	10	2	0	0	135	28	6	13	336	2	11	50	11	14	8	105	5	55	72	14	37	74	43
P	0	42	7	0	3	14	14	4	0	12	52	1	2	3	0	0	1	9	0	25	47	1	0	1	123	1	0	0	0	14	2	8	32	34	6	5	53	2	1	7	154	0	6	0	0	2	0	0	0	9	0	1	0	8	1	0	11	1	0	3	6	0	7	11	3	5	17	7
Pb	18	12	44	1	4	4	0	15	0	4	11	3	0	23	1	7	2	22	0	7	20	2	0	7	51	6	2	2	0	11	0	0	5	15	3	2	5	1	0	1	77	6	0	2	0	0	1	1	0	54	25	0	8	16	0	3	0	3	7	0	2	9	6	8	2	2	7	0
Pd	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
Pt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
REE	0	1	0	0	2	0	3	0	0	0	9	0	1	1	0	0	1	0	0	8	3	0	0	0	8	0	0	0	0	0	0	0	0	4	0	0	7	3	1	0	10	2	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	2	0	0	0	0	4	0	2
Rb	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Rh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ru	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S	31	33	53	5	2	3	0	21	1	13	24	4	2	17	3	7	2	52	1	13	44	3	1	10	99	9	2	3	1	35	2	1	17	16	5	16	52	3	3	14	135	9	54	1	0	0	0	3	0	0	41	0	1	14	0	7	1	0	6	1	4	26	17	8	2	5	19	1
Sb	19	3	31	3	2	0	1	5	1	0	8	0	0	3	2	1	1	13	0	0	12	0	0	0	7	6	0	0	1	1	0	0	3	10	2	1	4	0	0	6	28	0	25	1	0	0	0	2	0	41	0	0	2	4	0	4	0	1	3	0	2	7	0	1	0	0	3	1
Sc	0	2	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	2	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1
Se	1	2	2	2	0	0	0	5	0	0	0	1	0	7	0	0	0	15	0	0	0	0	0	0	5	3	0	0	0	2	0	0	0	0	0	0	1	0	0	1	13	0	8	3	0	0	0	1	1	1	2	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	2	0
Si	0	104	13	0	39	42	18	0	0	22	160	0	24	26	0	4	12	11	1	54	86	0	1	1	229	0	0	0	0	84	11	31	45	83	2	0	152	34	4	2	336	8	16	0	0	8	0	0	0	14	4	1	0	0	0	4	23	1	0	3	70	0	3	20	3	19	20	28
Sm	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Sn	2	3	2	1	2	0	2	2	0	0	5	0	0	0	0	0	0	1	0	1	2	0	0	1	3	0	0	1	0	3	0	2	3	4	0	0	2	0	0	1	11	0	3	0	0	0	0	0	0	7	4	0	1	4	0	0	0	1	0	0	2	1	0	0	0	0	1	1
Sr	0	14	1	0	6	8	1	0	0	6	22	0	4	6	0	3	0	3	0	12	11	0	0	0	38	0	0	0	0	8	2	0	7	10	0	0	25	8	0	0	50	11	0	0	0	2	0	0	0	1	0	0	0	23	0	0	0	0	0	0	9	0	1	2	2	2	0	9
Ta	0	2	2	0	0	0	0	0	0	2	3	0	1	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	0	3	0	0	0	1	0	0	3	8	0	0	11	1	3	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	2	0	1	0	0	3	0	1
Te	5	2	1	3	0	0	0	4	0	0	1	0	0	1	0	1	0	5	0	0	5	0	0	0	10	2	0	0	1	1	0	0	2	1	1	0	0	0	0	2	14	0	7	3	1	0	0	0	0	6	3	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
Th	0	2	1	0	0	2	0	0	0	1	3	0	2	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	1	1	0	0	1	0	0	2	1	0	0	8	3	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	1	0	0
Ti	0	13	9	0	2	20	2	0	0	3	35	0	9	4	0	5	2	3	0	25	38	0	0	0	64	0	0	0	0	31	1	8	13	21	0	0	57	28	1	0	105	6	2	0	0	2	0	0	0	4	2	1	0	70	0	2	9	2	1	1	0	0	2	3	0	6	5	9
Tl	6	0	19	1	0	0	0	2	0	0	0	0	0	4	0	0	0	9	0	0	3	0	0	0	3	2	1	0	0	1	0	0	0	4	0	0	0	0	0	1	5	0	9	1	0	0	0	0	0	26	7	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0
U	0	2	6	0	0	4	0	2	0	13	13	0	1	1	0	1	0	2	1	1	3	0	1	0	53	0	0	0	0	13	1	1	4	3	2	4	15	1	2	2	55	7	6	0	0	0	0	0	0	17	0	0	1	3	1	0	1	1	0	2	2	0	0	3	0	3	1	0
V	1	11	16	0	4	7	0	0	0	2	24	0	1	6	1	2	1	8	0	5	14	0	0	0	49	1	0	0	0	9	1	2	20	6	4	5	10	0	0	1	72	11	8	0	0	0	1	0	0	8	1	0	0	20	0	0	2	0	0	0	3	2	3	0	2	1	1	0
W	0	3	4	0	2	0	0	0	0	1	5	0	1	2	0	0	0	1	0	2	7	0	0	1	10	0	0	0	0	2	0	0	4	3	2	0	5	1	0	0	14	3	2	0	0	0	0	0	0	2	0	0	0	3	0	0	2	0	1	0	0	0	0	2	0	0	2	3
Y	0	5	2	0	8	3	3	0	0	11	17	0	4	3	0	1	0	1	1	11	4	0	1	0	24	0	0	0	0	3	1	2	1	7	0	0	13	4	3	0	37	5	2	0	0	4	0	0	0	5	0	1	0	19	1	0	2	3	0	1	6	0	3	1	0	0	1	3
Zn	2	10	23	0	0	3	3	0	0	2	15	0	2	5	0	4	0	16	0	1	31	2	0	2	59	0	0	1	0	13	0	2	12	24	0	1	12	2	0	0	74	17	7	0	0	0	0	0	0	19	3	0	2	20	0	1	0	0	1	0	5	1	1	1	2	1	0	0
Zr	0	3	0	0	2	3	3	0	0	7	23	0	5	8	0	1	2	0	0	2	14	0	0	0	35	0	0	0	0	7	0	4	4	13	1	0	32	11	0	0	43	7	0	0	0	2	0	0	0	1	1	1	0	28	0	1	9	1	0	0	9	0	0	0	3	3	0	0
