0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,F,Fe,Ga,Gd,Ge,H,Hg,I,In,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,P,Pb,Pd,Pr,Pt,REE,Rb,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Yb,Zn,Zr
Hg,13,1,11,2,0,0,0,3,10,4,0,0,0,17,0,3,0,11,0,0,1,0,0,0,8,0,10,0,0,0,0,0,1,1,0,4,0,0,0,2,23,1,8,2,0,1,0,0,0,0,25,10,0,7,0,0,0,0,0,3,0,0,6,0,1,0,0,0,1,0
I,2,0,1,0,0,0,0,1,4,1,3,0,0,7,0,1,0,4,0,0,0,0,0,0,8,10,0,0,0,2,0,0,3,0,0,1,4,0,0,0,13,0,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
In,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ir,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
K,1,89,26,0,15,32,13,2,1,14,108,2,6,51,0,2,7,38,0,39,68,0,0,0,197,0,2,0,0,0,1,26,53,39,3,11,154,30,0,2,307,21,16,0,0,0,0,1,0,0,66,4,1,4,172,0,4,12,4,2,2,56,4,20,16,3,7,0,20,15
La,0,15,2,0,1,3,0,0,0,17,18,0,21,0,0,0,0,4,0,8,16,0,0,0,23,0,0,0,0,1,0,0,4,10,0,0,13,3,12,0,49,3,0,0,1,0,0,0,0,0,3,0,0,0,24,1,0,7,0,0,2,5,0,1,2,0,1,0,1,1
Li,0,26,1,0,6,2,9,0,0,3,16,0,1,2,0,0,5,1,0,24,18,0,0,0,43,0,0,0,0,26,0,0,13,10,0,0,42,0,0,0,77,10,0,0,0,0,0,1,0,0,1,0,0,0,61,0,3,0,0,0,0,15,0,1,2,0,2,0,2,7
Mg,0,123,45,0,50,20,13,1,0,34,124,0,12,28,1,16,2,21,0,49,129,0,0,0,281,1,3,0,0,53,4,13,0,73,8,7,116,8,2,7,392,72,9,0,0,0,1,0,0,0,40,9,4,1,132,0,7,11,1,7,0,30,0,11,24,6,3,0,27,6
Mn,4,54,53,0,24,22,13,1,0,21,109,0,23,30,0,4,1,9,0,32,105,0,0,0,254,1,0,0,0,39,10,10,73,0,2,2,101,28,4,0,338,74,24,0,0,0,5,0,0,0,33,19,2,0,168,0,4,17,4,3,1,36,4,5,17,4,8,0,40,20
Mo,0,4,12,0,2,1,0,5,0,0,6,0,1,3,0,0,0,10,0,2,16,0,0,1,34,0,0,0,0,3,0,0,8,2,0,0,8,3,0,3,47,9,4,0,0,0,0,0,0,0,8,2,0,1,2,0,0,0,0,1,2,0,0,5,4,2,0,0,0,1
N,0,16,6,0,4,1,0,2,3,14,5,0,0,18,1,1,0,7,0,2,10,0,0,0,73,4,1,0,0,11,0,0,7,2,0,0,15,0,0,3,70,12,3,0,0,0,0,0,0,0,30,1,0,0,4,0,1,0,0,0,0,0,0,9,9,0,0,0,1,0
Na,0,139,58,0,41,55,20,4,0,68,222,0,37,53,3,7,8,35,1,114,139,0,1,0,399,0,4,0,0,154,13,42,116,101,8,15,0,48,3,1,596,95,8,0,0,0,11,0,0,0,93,7,1,3,308,0,3,49,6,0,4,106,0,25,21,5,28,0,20,53
