0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,F,Fe,Ge,H,Hg,I,In,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,Os,P,Pb,Pd,Pt,REE,Rh,Ru,S,Sb,Sc,Se,Si,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
Nd,0,0,1,0,0,0,1,0,0,1,0,0,4,0,0,0,0,1,0,1,0,4,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Ni,1,2,10,0,0,0,0,2,0,6,1,0,0,3,10,1,0,6,0,25,0,18,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,20,0,4,2,5,1,0,0,0,28,8,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0
O,3,361,118,0,55,42,34,28,1,110,379,1,42,64,10,17,2,133,85,329,0,906,4,1,1,0,105,19,25,221,143,11,17,230,35,6,20,0,0,187,102,0,0,3,0,0,188,16,3,4,460,9,17,19,7,14,68,0,84,43,11,31,58,24
Os,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,0,49,2,0,1,3,8,2,0,1,48,0,7,4,0,3,0,15,16,83,0,150,0,0,0,0,8,3,7,23,41,1,2,22,0,2,4,187,0,0,13,0,0,0,0,0,8,0,1,0,4,0,3,0,0,4,1,0,16,1,0,2,6,1
Pb,15,7,27,3,0,0,0,35,1,7,5,1,0,25,0,6,0,47,2,26,0,67,0,1,1,0,1,0,0,0,7,2,0,2,0,0,2,102,0,13,0,1,1,0,0,0,87,31,0,7,6,4,1,0,6,1,2,0,12,7,2,1,7,0
Pd,2,0,12,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,9,0,2,0,3,8,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0
Pt,0,0,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,5,1,7,3,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0
REE,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0
Rh,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
