0	Ag	Al	As	Au	B	Ba	Be	Bi	Br	C	Ca	Cd	Ce	Cl	Co	Cr	Cs	Cu	Dy	Er	F	Fe	Ga	Gd	Ge	H	Hf	Hg	I	In	Ir	K	La	Li	Ln	Mg	Mn	Mo	N	Na	Nb	Nd	Ni	O	Os	P	Pb	Pd	Pt	REE	Rb	Re	Rh	Ru	S	Sb	Sc	Se	Si	Sm	Sn	Sr	Ta	Te	Th	Ti	Tl	U	V	W	Y	Yb	Zn	Zr
Si	0	259	9	0	50	54	28	2	0	17	289	0	34	32	0	6	3	17	0	1	91	177	0	0	0	423	1	1	0	0	0	128	11	23	0	153	111	0	6	234	30	5	8	637	0	15	21	0	0	8	2	0	0	0	26	3	4	0	0	1	5	17	1	1	8	82	0	5	10	2	20	1	18	39
Sm	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Sn	4	1	4	1	3	0	2	0	0	0	6	1	0	1	0	0	0	16	0	0	0	16	0	0	0	13	0	1	0	2	0	0	0	0	0	2	3	1	0	1	0	0	0	22	0	0	4	7	4	0	0	0	0	0	21	6	1	0	5	0	0	0	2	0	0	2	0	0	1	1	0	0	5	1
Sr	0	15	2	0	4	11	0	0	0	8	24	0	7	1	0	4	0	0	0	0	7	11	0	0	0	31	0	0	0	0	0	6	3	1	0	5	8	0	0	18	2	0	0	48	0	8	2	0	0	0	0	0	0	0	2	0	0	0	17	0	0	0	0	0	1	10	0	3	4	0	4	0	2	4
Ta	0	4	0	0	2	0	0	2	0	0	8	0	1	0	0	0	0	0	0	0	3	9	0	0	0	8	0	0	0	0	0	1	0	2	0	1	3	0	0	4	18	0	0	34	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	2	0	0	0	1	7	0	5	0	1	7	0	0	0
Te	11	1	5	7	0	0	0	20	0	1	7	0	0	7	1	0	0	28	0	0	0	10	0	0	0	25	0	1	0	0	1	0	0	0	0	2	3	0	0	0	0	0	1	46	0	1	26	9	1	0	0	0	0	0	18	7	0	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0
Th	0	1	1	0	1	0	0	0	0	1	12	0	4	0	0	0	0	0	0	0	3	6	0	0	0	11	0	0	0	0	0	2	1	0	0	0	2	0	0	6	2	0	0	15	0	4	1	0	0	2	0	0	0	0	0	0	0	0	8	0	0	1	1	0	0	5	0	2	0	0	2	0	0	1
Ti	0	15	3	0	5	33	1	0	0	2	49	0	14	5	0	11	0	0	0	0	30	67	0	0	0	77	0	0	0	0	0	30	5	2	1	24	34	0	1	58	39	2	0	150	0	8	7	0	0	4	0	0	0	0	0	0	0	0	82	0	2	10	7	0	5	0	0	14	11	1	16	0	8	17
Tl	2	0	9	0	0	0	0	0	1	0	0	0	0	1	0	0	1	7	0	0	0	5	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	15	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
U	0	5	20	0	0	8	0	2	0	15	30	0	4	0	1	5	0	5	0	0	5	22	0	0	0	117	0	0	0	0	0	7	2	0	0	12	4	5	1	13	10	1	2	129	0	23	17	0	0	1	0	0	0	0	15	0	0	0	5	1	0	3	5	1	2	14	0	0	11	1	12	0	5	0
V	0	10	1	0	0	8	0	6	0	1	26	0	3	0	0	5	0	9	0	0	3	20	0	0	1	70	0	0	0	0	0	3	2	0	0	9	15	0	0	15	0	0	0	95	0	3	9	0	0	0	0	0	0	0	5	1	0	0	10	0	1	4	0	0	0	11	0	11	0	0	6	0	2	0
W	0	2	0	0	0	2	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	3	0	0	0	8	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	1	0	13	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0
Y	0	5	2	0	4	3	4	0	0	12	24	0	11	0	0	5	0	1	1	1	17	20	0	1	0	33	0	0	0	0	0	2	3	0	0	0	6	0	0	8	10	6	0	55	0	1	4	0	0	5	0	0	0	0	2	0	0	0	20	1	0	4	7	0	2	16	0	12	6	1	0	1	3	1
Yb	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zn	6	19	33	0	0	0	0	0	0	7	14	0	1	6	1	3	1	31	0	0	1	38	0	0	2	90	0	3	0	2	0	3	0	0	0	14	16	0	0	5	2	0	0	110	0	14	15	0	0	0	0	0	0	0	37	6	0	3	18	0	5	2	0	8	0	8	2	5	2	1	3	0	0	0
Zr	0	3	0	0	1	3	0	0	0	1	25	0	2	4	0	3	0	0	0	0	8	12	0	0	0	19	0	0	0	0	0	9	2	1	0	3	9	0	0	24	3	0	0	51	0	3	0	0	0	0	0	0	0	0	0	0	0	0	39	0	1	4	0	0	1	17	0	0	0	0	1	0	0	0
