0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,F,Fe,Ga,Gd,Ge,H,Hg,I,In,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,P,Pb,Pd,Pr,Pt,REE,Rb,Rh,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Yb,Zn,Zr
Sm,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sn,1,7,3,1,2,1,0,1,0,0,6,0,0,2,0,0,0,4,0,9,0,0,0,10,0,0,0,0,1,0,1,4,0,0,1,1,1,0,1,16,0,3,3,0,3,0,0,0,9,1,0,0,6,0,0,0,0,2,0,2,0,0,1,0,0,0,5,1
Sr,0,11,1,0,0,11,0,0,0,5,16,0,8,3,0,2,0,0,9,14,0,0,0,29,0,0,0,0,4,5,0,4,7,0,0,24,3,0,0,48,10,1,0,0,0,1,0,0,1,0,0,0,28,0,0,0,0,0,0,14,0,2,4,0,1,0,2,5
Ta,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,0,1,0,0,1,3,0,0,3,11,0,0,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0
Te,4,0,2,2,0,0,0,4,0,3,2,0,0,8,0,0,0,16,0,9,0,0,1,14,1,0,0,1,1,0,0,5,2,0,0,0,0,0,3,33,0,16,3,0,1,0,0,0,11,1,0,4,0,0,2,0,0,0,0,1,1,3,1,0,0,0,5,0
Th,0,3,0,0,2,0,1,0,0,0,3,0,1,0,0,0,0,0,1,4,0,0,0,9,0,0,0,0,1,1,0,0,0,2,0,2,3,0,0,10,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
Ti,0,17,4,0,6,23,2,0,0,1,28,0,15,5,0,7,1,0,22,53,0,0,0,66,0,0,0,0,25,4,7,17,15,0,0,49,25,0,0,115,7,1,0,0,0,1,0,0,3,1,1,0,79,0,2,14,2,1,3,0,0,1,7,0,8,0,7,11
Tl,8,1,21,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,27,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
U,0,12,9,0,0,2,0,3,0,12,15,0,1,1,2,1,1,6,4,3,0,0,0,77,0,0,0,0,7,0,0,7,2,3,5,10,1,2,0,85,13,12,0,0,0,0,0,0,20,0,0,6,7,0,0,2,1,3,0,1,0,0,6,0,4,0,0,1
V,0,17,7,0,2,7,1,2,0,0,11,0,0,7,0,3,1,17,3,7,0,0,0,56,0,0,0,0,7,1,0,4,11,0,4,11,0,1,3,85,5,7,0,0,0,0,0,0,8,2,0,0,13,0,1,4,0,1,0,7,0,6,0,1,0,0,5,0
W,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,1,1,0,3,0,0,1,4,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,10,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0
Y,0,7,1,0,4,2,2,0,0,10,15,0,0,0,0,1,0,1,13,5,0,1,0,22,0,0,0,0,4,0,0,2,1,0,0,15,3,1,0,38,4,3,0,0,0,3,0,0,3,0,0,0,18,1,0,1,2,0,1,8,0,4,0,2,0,1,1,2
Yb,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zn,2,16,14,0,1,0,1,0,0,5,10,3,0,4,0,1,0,12,1,21,1,0,1,60,1,0,0,0,7,1,0,15,16,0,0,8,3,0,3,71,12,6,1,0,0,0,0,0,18,5,0,0,14,0,5,2,0,5,0,7,1,0,5,0,1,0,0,0
Zr,0,4,0,0,0,0,0,0,0,2,21,0,6,7,0,0,0,0,3,12,0,0,0,20,0,0,0,0,8,1,3,2,7,0,0,21,5,0,0,36,0,0,0,0,0,0,0,0,0,1,2,0,27,0,1,5,0,0,0,11,0,1,0,0,2,0,0,0
