0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,F,Fe,Ga,Gd,Ge,H,Hf,Hg,I,In,Ir,K,La,Li,Ln,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,Os,P,Pb,Pd,Pr,Pt,REE,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Yb,Zn,Zr
Sb,52,8,74,4,4,0,2,14,1,0,15,0,0,10,4,1,2,48,0,0,1,32,0,0,0,28,0,19,0,0,2,5,0,0,0,11,25,2,1,12,2,0,11,83,0,0,71,3,0,1,0,0,0,2,0,128,0,0,9,7,0,8,0,4,8,0,3,31,0,3,2,0,0,14,2
Sc,0,5,1,0,0,1,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,1,0,0,0,5,2,0,0,2,2,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,2,0,0,0,0,1,0,0,3
Se,12,2,7,4,0,1,0,26,0,0,2,2,0,13,5,0,0,54,0,0,0,7,0,0,0,18,0,9,1,0,0,4,0,0,0,1,0,1,0,3,0,0,9,33,0,0,23,12,0,4,0,0,0,1,1,16,9,0,0,0,0,1,0,0,11,0,0,3,7,0,0,0,0,5,0
Si,0,395,26,0,100,130,55,0,0,58,521,0,77,77,1,16,17,31,1,1,183,311,0,1,1,751,1,1,0,0,0,262,29,72,0,227,249,2,8,459,79,10,7,1126,0,39,44,1,0,0,18,3,0,0,0,49,7,7,0,0,1,13,67,2,1,12,207,0,10,41,5,48,4,47,79
Sm,0,1,0,0,0,0,1,0,0,3,1,0,2,0,0,0,0,1,0,0,0,1,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,7,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0
Sn,5,10,7,2,6,1,4,3,0,0,14,1,0,3,0,0,0,19,0,0,1,20,0,0,1,22,0,1,0,2,0,4,0,3,0,9,6,1,1,4,1,0,2,42,0,0,6,5,0,3,0,0,0,0,0,30,8,1,1,13,0,0,0,2,2,0,6,1,0,1,1,0,0,9,3
Sr,0,38,3,0,10,30,1,0,0,16,59,0,16,10,0,8,0,3,0,0,27,34,0,0,0,92,0,0,0,0,0,17,8,1,0,15,24,0,0,64,13,0,0,138,0,28,2,0,0,0,3,0,0,0,0,4,0,0,0,67,0,0,0,0,0,1,31,0,4,9,2,6,0,3,18
Ta,0,5,2,0,3,0,0,2,0,3,11,0,1,0,0,0,1,0,0,0,2,14,0,0,0,9,0,0,0,0,0,5,0,2,0,2,7,0,0,9,29,0,0,51,0,2,3,0,0,0,1,0,0,0,0,0,4,1,0,2,0,2,0,0,0,1,8,0,4,0,2,9,0,0,1
Te,15,3,6,10,0,0,0,20,0,4,10,0,0,16,1,1,0,43,0,0,0,22,0,0,1,45,0,3,0,0,3,2,0,0,0,9,6,1,0,0,0,0,6,86,0,1,46,9,0,2,0,0,0,0,0,29,8,0,11,1,0,2,0,0,0,0,2,1,4,1,1,0,0,13,0
Th,0,6,2,0,3,2,1,0,0,2,14,0,4,0,0,0,0,0,0,0,5,8,0,0,0,23,0,0,0,0,0,4,3,0,0,0,2,2,0,9,5,0,0,27,0,7,0,0,0,0,3,0,0,0,0,1,0,0,0,12,0,0,1,1,0,0,8,0,4,0,0,4,0,0,0
Ti,0,41,16,0,10,67,5,0,0,6,99,0,32,13,0,19,3,3,0,0,69,141,0,0,0,188,0,0,0,0,0,79,9,15,1,49,65,0,0,148,81,3,0,328,0,20,8,0,0,0,6,0,0,0,0,7,3,2,0,207,0,6,31,8,2,8,0,0,11,17,0,24,0,18,33
Tl,16,1,48,3,0,0,0,2,1,0,0,0,0,6,0,0,1,18,0,0,0,10,0,0,0,7,0,10,1,0,0,4,0,0,0,0,4,0,0,0,0,0,1,10,0,0,21,1,0,0,0,0,0,0,0,66,31,0,3,0,0,1,0,0,1,0,0,0,0,2,0,0,0,4,0
U,0,17,23,0,0,9,0,5,0,36,46,0,5,2,3,4,1,12,1,0,7,18,0,1,0,194,0,0,0,0,0,24,2,1,0,19,7,8,10,34,7,5,4,213,0,35,26,0,0,0,1,0,0,0,0,49,0,0,7,10,2,0,4,4,4,4,11,0,0,15,1,13,0,4,1
V,1,37,23,0,6,19,1,5,0,3,52,0,3,13,1,7,2,29,0,0,10,34,0,0,1,151,0,1,0,0,0,18,3,2,0,31,28,4,9,35,0,1,4,221,0,18,20,0,0,0,0,1,0,0,0,19,3,0,0,41,0,1,9,0,1,0,17,2,15,0,3,4,0,7,0
W,0,5,5,0,2,1,0,0,0,2,8,0,3,3,0,0,1,3,0,0,2,13,0,0,2,20,0,0,0,0,0,3,0,0,0,7,6,2,0,5,4,1,0,32,0,3,5,0,0,0,0,0,0,0,0,4,2,0,0,5,0,1,2,2,1,0,0,0,1,3,0,3,0,3,3
Y,0,15,4,0,15,8,7,0,0,30,50,0,13,3,0,4,0,3,2,1,38,21,0,3,0,67,0,0,0,0,0,9,2,2,0,3,12,0,0,36,12,9,0,109,0,10,8,0,0,0,11,0,0,0,0,10,0,1,0,48,3,0,6,9,0,4,24,0,13,4,3,0,2,4,5
Yb,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Zn,8,38,58,0,1,3,4,0,0,12,36,3,3,13,0,6,1,47,0,0,3,79,3,0,4,179,0,4,0,2,0,23,1,2,0,39,53,0,1,23,7,0,3,221,0,37,22,1,0,0,0,0,0,0,0,61,14,0,5,47,0,9,3,0,13,0,18,4,4,7,3,4,0,0,0
Zr,0,9,0,0,3,5,3,0,0,10,59,0,12,17,0,4,2,0,0,0,10,34,0,0,0,67,0,0,0,0,0,22,2,8,0,9,26,1,0,68,17,0,0,113,0,9,0,0,0,0,2,0,0,0,0,1,2,3,0,79,0,3,18,1,0,0,33,0,1,0,3,5,0,0,0
