0	Ag	Al	As	Au	B	Ba	Be	Bi	Br	C	Ca	Cd	Ce	Cl	Co	Cr	Cs	Cu	Dy	Er	F	Fe	Ga	Gd	Ge	H	Hf	Hg	I	In	Ir	K	La	Li	Ln	Mg	Mn	Mo	N	Na	Nb	Nd	Ni	O	Os	P	Pb	Pd	Pr	Pt	REE	Rb	Re	Rh	Ru	S	Sb	Sc	Se	Si	Sm	Sn	Sr	Ta	Te	Th	Ti	Tl	U	V	W	Y	Yb	Zn	Zr
H	5	900	389	0	206	165	73	44	5	329	1019	12	106	242	39	49	15	363	3	1	232	792	4	4	11	0	0	11	10	2	0	381	48	66	1	590	477	45	124	729	119	34	69	3203	0	522	221	0	1	0	19	2	0	0	0	515	36	7	21	1062	6	26	104	14	49	29	214	7	273	186	24	84	3	227	78
Hf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hg	25	1	20	2	0	0	0	4	11	4	0	0	0	25	0	3	1	23	0	0	0	2	0	0	0	11	0	0	11	0	0	0	0	0	0	1	1	1	5	0	0	0	2	32	0	1	10	5	0	1	0	0	0	0	0	50	20	0	10	1	0	1	0	0	5	0	0	10	0	1	0	0	0	4	0
I	5	0	1	0	0	0	0	1	5	1	4	0	0	10	0	2	0	6	0	0	0	0	0	0	0	10	0	11	0	0	0	2	0	0	0	3	0	0	1	4	0	0	0	16	0	0	4	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
In	3	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	4	0	0	0	5	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	1	0	2	0	0	0	0	0	10	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0
Ir	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	5	0	2	0	0	7	0	0	0	7	8	12	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
K	2	205	31	0	22	48	18	2	1	23	189	2	7	76	0	7	10	52	0	0	70	141	0	0	0	381	0	0	2	0	0	0	1	34	0	109	64	3	20	263	43	0	3	556	0	41	19	0	0	0	1	3	0	0	0	122	5	1	4	327	0	4	20	5	2	4	87	4	31	22	3	9	0	23	24
La	0	22	7	0	3	4	1	0	0	29	32	0	49	1	0	3	0	5	0	0	17	28	0	0	0	48	0	0	0	0	0	1	0	0	0	8	11	0	0	17	6	23	0	87	0	10	0	0	1	0	0	0	0	0	0	3	0	0	0	36	1	0	10	0	0	5	12	0	3	4	0	5	0	1	3
Li	0	51	1	0	10	2	11	0	0	4	23	0	1	2	0	0	7	1	0	0	37	28	0	0	0	66	0	0	0	0	0	34	0	0	0	20	22	0	0	57	0	0	0	121	0	22	0	0	0	0	0	2	0	0	0	1	0	0	0	89	0	3	1	2	0	0	17	0	1	2	0	2	0	2	8
Ln	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Mg	0	292	70	0	99	37	15	1	0	71	257	0	19	47	5	25	2	29	0	0	91	291	0	0	0	590	0	1	3	0	0	109	8	20	0	0	132	8	14	214	10	2	15	815	0	123	12	0	0	0	1	0	0	0	0	86	11	5	1	345	0	9	18	2	9	1	57	0	24	34	7	3	0	41	9
Mn	7	115	82	0	33	40	19	1	0	29	211	1	26	41	3	8	1	11	0	0	53	221	0	0	0	477	0	1	0	1	0	64	11	22	0	132	0	2	2	174	44	4	4	660	0	146	43	0	0	0	6	1	0	0	0	58	26	2	0	299	0	8	27	12	6	3	73	4	9	32	7	14	0	58	31
Mo	0	4	15	0	2	1	0	7	0	0	9	0	1	4	0	1	0	14	0	0	2	22	0	0	1	45	0	1	0	0	1	3	0	0	0	8	2	0	1	10	3	0	3	66	1	11	6	0	0	0	0	0	1	0	1	13	2	0	1	2	0	1	0	0	1	2	0	0	10	4	2	0	0	0	1
N	0	23	6	0	4	1	0	2	3	21	7	0	0	24	1	2	0	12	0	0	4	20	0	0	0	124	0	5	1	0	0	20	0	0	0	14	2	1	0	21	0	0	5	119	0	21	3	0	0	0	0	0	0	0	0	51	1	0	0	10	0	1	0	0	0	0	1	0	11	9	0	0	0	1	0
Na	0	323	78	0	67	86	31	5	0	114	427	0	57	92	3	11	9	49	1	0	205	268	0	1	0	729	0	0	4	0	0	263	17	57	0	214	174	10	21	0	80	4	2	1092	0	158	15	0	0	0	17	0	0	0	0	162	12	2	3	602	0	4	71	11	0	10	173	0	40	37	5	36	0	25	81
Nb	0	9	2	0	6	25	0	2	0	6	70	0	20	11	0	1	1	0	0	0	31	52	0	0	0	119	0	0	0	0	0	43	6	0	1	10	44	3	0	80	0	4	0	187	0	6	5	0	0	0	6	0	0	0	0	4	3	2	0	88	0	1	13	42	0	8	97	0	13	0	5	22	1	7	21
Nd	0	7	4	0	0	0	3	0	0	22	13	0	25	0	0	0	1	5	1	0	6	8	0	2	0	34	0	0	0	0	0	0	23	0	1	2	4	0	0	4	4	0	0	50	0	8	2	0	1	0	1	0	0	0	0	4	0	0	0	11	5	0	0	0	0	0	3	0	5	1	1	10	0	0	0
Ni	1	13	43	0	1	2	0	9	0	16	6	0	0	9	22	3	0	26	0	0	0	57	0	0	1	69	0	2	0	0	3	3	0	0	0	15	4	3	5	2	0	0	0	82	0	18	6	7	0	4	0	0	0	4	1	74	19	0	11	13	0	2	0	0	7	0	0	1	4	4	0	0	0	3	0
