0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,F,Fe,Ge,H,Hg,I,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Ni,O,Os,P,Pb,Pd,Pt,REE,Rh,Ru,S,Sb,Sc,Se,Si,Sn,Sr,Ta,Te,Th,Ti,U,V,W,Y,Zn,Zr
Ru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,25,27,24,1,0,1,3,17,0,8,13,2,0,2,7,1,0,61,1,54,1,83,2,0,1,9,0,0,8,2,2,2,14,0,17,96,1,5,39,3,4,0,2,2,0,29,0,1,7,4,2,0,4,0,0,4,1,0,0,12,0
Sb,11,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,15,1,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Se,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Si,0,122,0,0,10,2,11,1,0,6,95,0,5,4,0,1,1,4,13,56,0,146,0,0,0,27,1,5,60,20,0,0,59,2,1,221,0,0,1,0,0,0,0,0,7,0,1,0,0,0,2,0,0,3,10,4,1,0,2,3,5
Sn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Sr,0,4,0,0,0,2,0,0,0,3,3,0,2,0,0,0,0,0,1,1,0,6,0,0,0,2,0,0,2,2,0,0,4,0,0,9,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
Ta,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,5,0,0,1,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0
Te,6,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Th,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,2,0,0,2,0,0
Ti,0,1,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,5,9,0,6,0,0,0,1,2,0,3,3,0,0,9,5,0,26,0,0,0,0,0,1,0,0,0,0,0,0,10,0,1,2,0,3,0,2,0,0,3,0,2
U,0,1,2,0,0,0,0,0,0,2,10,0,1,0,0,0,0,5,1,0,0,25,0,0,0,4,0,0,1,0,0,0,2,1,0,28,0,8,3,0,0,0,0,0,4,0,0,0,4,0,0,1,0,2,2,0,3,0,1,0,0
V,0,1,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,3,0,2,0,11,0,0,0,3,0,0,1,0,0,0,1,0,0,12,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0
W,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,0,0,1,0,0,0,1,0,0,1,3,0,2,0,0,0,0,1,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,5,0,10,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,3,1,0,0,0,0,0
Zn,0,1,4,0,0,0,1,0,0,5,2,0,0,1,0,0,0,10,0,2,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,24,0,0,1,0,0,0,0,0,12,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0
Zr,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,2,0,0,4,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0
