"Mineral Name","Mineral Name (plain)","Year First Published"
"Aminoffite","Aminoffite","1937"
"Ammineite","Ammineite","2008"
"Ammonioalunite","Ammonioalunite","1986"
"Ammonioborite","Ammonioborite","1933"
"Ammoniojarosite","Ammoniojarosite","1927"
"Ammoniolasalite","Ammoniolasalite","2018"
"Ammonioleucite","Ammonioleucite","1984"
"Ammoniomagnesiovoltaite","Ammoniomagnesiovoltaite","2009"
"Ammoniomathesiusite","Ammoniomathesiusite","2017"
"Ammoniotinsleyite","Ammoniotinsleyite","2020"
"Ammoniovoltaite","Ammoniovoltaite","2017"
"Ammoniozippeite","Ammoniozippeite","2017"
"Amstallite","Amstallite","1986"
"Analcime","Analcime","1797"
"Anandite","Anandite","1966"
"Anapaite","Anapaite","1902"
"Anastasenkoite","Anastasenkoite","2020"
"Anatase","Anatase","1801"
"Anatolyite","Anatolyite","2016"
"Ancylite-(Ce)","Ancylite-(Ce)","1901"
"Ancylite-(La)","Ancylite-(La)","1995"
"Andalusite","Andalusite","1798"
"Andersonite","Andersonite","1951"
"Andorite IV","Andorite IV","1893"
"Andorite VI","Andorite VI","1892"
"Andradite","Andradite","1868"
"Andreadiniite","Andreadiniite","2014"
"Andrémeyerite","Andremeyerite","1972"
"Andreyivanovite","Andreyivanovite","2006"
"Andrianovite","Andrianovite","2007"
"Anduoite","Anduoite","1979"
"Andychristyite","Andychristyite","2015"
"Andymcdonaldite","Andymcdonaldite","2019"
"Andyrobertsite","Andyrobertsite","1997"
"Angarfite","Angarfite","2010"
"Angastonite","Angastonite","2008"
"Ángelaite","Angelaite","2003"
"Angelellite","Angelellite","1959"
"Anglesite","Anglesite","1832"
"Anhydrite","Anhydrite","1794"
"Anhydrokainite","Anhydrokainite","1912"
"Anilite","Anilite","1968"
"Ankerite","Ankerite","1825"
"Ankinovichite","Ankinovichite","2002"
"Annabergite","Annabergite","1852"
"Annite","Annite","1868"
"Anorpiment","Anorpiment","2011"
"Anorthite","Anorthite","1823"
"Anorthominasragrite","Anorthominasragrite","2001"
"Ansermetite","Ansermetite","2002"
"Antarcticite","Antarcticite","1965"
"Anthoinite","Anthoinite","1947"
"Anthonyite","Anthonyite","1963"
"Anthophyllite","Anthophyllite","1801"
"Antigorite","Antigorite","1840"
"Antimonselite","Antimonselite","1992"
"Antimony","Antimony","1748"
"Antipinite","Antipinite","2014"
"Antlerite","Antlerite","1889"
"Antofagastaite","Antofagastaite","2018"
"Anyuiite","Anyuiite","1987"
"Anzaite-(Ce)","Anzaite-(Ce)","2013"
"Apachite","Apachite","1979"
"Apexite","Apexite","2015"
"Aphthitalite","Aphthitalite","1813"
"Apjohnite","Apjohnite","1847"
"Aplowite","Aplowite","1963"
"Apuanite","Apuanite","1978"
"Aqualite","Aqualite","2002"
"Aradite","Aradite","2013"
"Aragonite","Aragonite","1788"
"Arakiite","Arakiite","1998"
"Aramayoite","Aramayoite","1926"
"Arangasite","Arangasite","2012"
"Arapovite","Arapovite","2003"
"Aravaipaite","Aravaipaite","1988"
"Aravaite","Aravaite","2018"
"Arcanite","Arcanite","1845"
"Archerite","Archerite","1975"
"Arctite","Arctite","1980"
"Arcubisite","Arcubisite","1973"
"Ardaite","Ardaite","1979"
"Ardealite","Ardealite","1932"
"Ardennite-(As)","Ardennite-(As)","1872"
"Ardennite-(V)","Ardennite-(V)","2005"
"Arfvedsonite","Arfvedsonite","1823"
"Argandite","Argandite","2010"
"Argentobaumhauerite","Argentobaumhauerite","1988"
"Argentodufrénoysite","Argentodufrenoysite","2016"
"Argentojarosite","Argentojarosite","1923"
"Argentoliveingite","Argentoliveingite","2016"
