"Mineral Name","Mineral Name (plain)","Year First Published"
"Ellinaite","Ellinaite","2020"
"Ellingsenite","Ellingsenite","2009"
"Ellisite","Ellisite","1977"
"Elpasolite","Elpasolite","1883"
"Elpidite","Elpidite","1894"
"Eltyubyuite","Eltyubyuite","2011"
"Elyite","Elyite","1971"
"Embreyite","Embreyite","1971"
"Emeleusite","Emeleusite","1977"
"Emilite","Emilite","2001"
"Emmerichite","Emmerichite","2013"
"Emmonsite","Emmonsite","1885"
"Emplectite","Emplectite","1855"
"Empressite","Empressite","1914"
"Enargite","Enargite","1850"
"Engelhauptite","Engelhauptite","2013"
"Englishite","Englishite","1930"
"Enneasartorite","Enneasartorite","2015"
"Enstatite","Enstatite","1855"
"Eosphorite","Eosphorite","1878"
"Ephesite","Ephesite","1851"
"Epididymite","Epididymite","1893"
"Epidote","Epidote","1801"
"Epidote-(Sr)","Epidote-(Sr)","2006"
"Epifanovite","Epifanovite","2016"
"Epistilbite","Epistilbite","1826"
"Epistolite","Epistolite","1901"
"Epsomite","Epsomite","1806"
"Erazoite","Erazoite","2014"
"Ercitite","Ercitite","1999"
"Erdite","Erdite","1977"
"Ericaite","Ericaite","1950"
"Ericlaxmanite","Ericlaxmanite","2013"
"Ericssonite","Ericssonite","1966"
"Erikapohlite","Erikapohlite","2010"
"Erikjonssonite","Erikjonssonite","2018"
"Eringaite","Eringaite","2009"
"Eriochalcite","Eriochalcite","1870"
"Erionite-Ca","Erionite-Ca","1967"
"Erionite-K","Erionite-K","1964"
"Erionite-Na","Erionite-Na","1898"
"Erlianite","Erlianite","1985"
"Erlichmanite","Erlichmanite","1970"
"Ermakovite","Ermakovite","2020"
"Ernienickelite","Ernienickelite","1993"
"Erniggliite","Erniggliite","1987"
"Ernstburkeite","Ernstburkeite","2010"
"Ernstite","Ernstite","1970"
"Ershovite","Ershovite","1991"
"Erssonite","Erssonite","2021"
"Ertixiite","Ertixiite","1983"
"Erythrite","Erythrite","1832"
"Erythrosiderite","Erythrosiderite","1872"
"Erzwiesite","Erzwiesite","2012"
"Escheite","Escheite","2018"
"Esdanaite-(Ce)","Esdanaite-(Ce)","2019"
"Eskebornite","Eskebornite","1949"
"Eskimoite","Eskimoite","1976"
"Eskolaite","Eskolaite","1958"
"Espadaite","Espadaite","2018"
"Esperanzaite","Esperanzaite","1998"
"Esperite","Esperite","1964"
"Esquireite","Esquireite","2014"
"Esseneite","Esseneite","1985"
"Ettringite","Ettringite","1874"
"Eucairite","Eucairite","1818"
"Euchlorine","Euchlorine","1884"
"Euchroite","Euchroite","1823"
"Euclase","Euclase","1792"
"Eucryptite","Eucryptite","1880"
"Eudialyte","Eudialyte","1819"
"Eudidymite","Eudidymite","1887"
"Eugenite","Eugenite","1981"
"Eugsterite","Eugsterite","1980"
"Eulytine","Eulytine","1827"
"Eurekadumpite","Eurekadumpite","2009"
"Euxenite-(Y)","Euxenite-(Y)","1840"
"Evansite","Evansite","1864"
"Evdokimovite","Evdokimovite","2013"
"Eveite","Eveite","1966"
"Evenkite","Evenkite","1953"
"Eveslogite","Eveslogite","2001"
"Evseevite","Evseevite","2019"
"Ewaldite","Ewaldite","1969"
"Ewingite","Ewingite","2016"
"Eylettersite","Eylettersite","1969"
"Eyselite","Eyselite","2003"
"Ezcurrite","Ezcurrite","1957"
"Eztlite","Eztlite","1980"
"Fabianite","Fabianite","1962"
"Fabrièsite","Fabriesite","2012"
"Faheyite","Faheyite","1953"
"Fahleite","Fahleite","1982"
"Fairbankite","Fairbankite","1979"
"Fairchildite","Fairchildite","1947"
"Fairfieldite","Fairfieldite","1879"
"Faizievite","Faizievite","2006"
"Falcondoite","Falcondoite","1976"
"Falgarite","Falgarite","2018"
"Falkmanite","Falkmanite","1940"
"Falottaite","Falottaite","2013"
"Falsterite","Falsterite","2011"
"Famatinite","Famatinite","1873"
"Fanfaniite","Fanfaniite","2018"
"Fangite","Fangite","1991"
"Fantappièite","Fantappieite","2008"
"Farneseite","Farneseite","2004"
"Farringtonite","Farringtonite","1961"
"Fassinaite","Fassinaite","2011"
"Faujasite-Ca","Faujasite-Ca","1997"
"Faujasite-Mg","Faujasite-Mg","1997"
"Faujasite-Na","Faujasite-Na","1842"
"Faustite","Faustite","1953"
"Favreauite","Favreauite","2014"
"Fayalite","Fayalite","1840"
"Fedorite","Fedorite","1965"
"Fedorovskite","Fedorovskite","1975"
"Fedotovite","Fedotovite","1986"
"Fehrite","Fehrite","2019"
"Feiite","Feiite","2018"
"Feinglosite","Feinglosite","1995"
"Feitknechtite","Feitknechtite","1965"
"Feklichevite","Feklichevite","2000"
"Felbertalite","Felbertalite","1999"
"Felsőbányaite","Felsobanyaite","1854"
"Fenaksite","Fenaksite","1959"
"Fencooperite","Fencooperite","2000"
"Fengchengite","Fengchengite","2007"
"Feodosiyite","Feodosiyite","2015"
"Ferberite","Ferberite","1863"
"Ferchromide","Ferchromide","1984"
"Ferdowsiite","Ferdowsiite","2012"
"Fergusonite-(Ce)","Fergusonite-(Ce)","1986"
"Fergusonite-(Ce)-β","Fergusonite-(Ce)-beta","1973"
"Fergusonite-(Nd)-β","Fergusonite-(Nd)-beta","1983"
"Fergusonite-(Y)","Fergusonite-(Y)","1825"
"Fergusonite-(Y)-β","Fergusonite-(Y)-beta","1961"
"Ferhodsite","Ferhodsite","2009"
"Fermiite","Fermiite","2014"
"Fernandinite","Fernandinite","1915"
"Feroxyhyte","Feroxyhyte","1975"
"Ferraioloite","Ferraioloite","2015"
"Ferrarisite","Ferrarisite","1979"
"Ferriakasakaite-(Ce)","Ferriakasakaite-(Ce)","2018"
"Ferriakasakaite-(La)","Ferriakasakaite-(La)","2013"
"Ferriallanite-(Ce)","Ferriallanite-(Ce)","2000"
"Ferriallanite-(La)","Ferriallanite-(La)","2010"
"Ferriandrosite-(La)","Ferriandrosite-(La)","2013"
"Ferribushmakinite","Ferribushmakinite","2014"
"Ferricerite-(La)","Ferricerite-(La)","2001"
"Ferricopiapite","Ferricopiapite","1939"
"Ferricoronadite","Ferricoronadite","2015"
"Ferrierite-K","Ferrierite-K","1997"
"Ferrierite-Mg","Ferrierite-Mg","1918"
"Ferrierite-Na","Ferrierite-Na","1997"
"Ferrierite-NH<sub>4</sub>","Ferrierite-NH4","2018"
"Ferri-fluoro-katophorite","Ferri-fluoro-katophorite","2015"
"Ferri-fluoro-leakeite","Ferri-fluoro-leakeite","2009"
"Ferri-ghoseite","Ferri-ghoseite","1993"
"Ferri-hellandite-(Ce)","Ferri-hellandite-(Ce)","2021"
"Ferrihollandite","Ferrihollandite","1906"
"Ferrihydrite","Ferrihydrite","1971"
"Ferri-kaersutite","Ferri-kaersutite","2014"
"Ferri-katophorite","Ferri-katophorite","1978"
"Ferri-leakeite","Ferri-leakeite","1991"
"Ferrilotharmeyerite","Ferrilotharmeyerite","1986"
"Ferrimolybdite","Ferrimolybdite","1907"
"Ferri-mottanaite-(Ce)","Ferri-mottanaite-(Ce)","2018"
"Ferrinatrite","Ferrinatrite","1889"
"Ferri-obertiite","Ferri-obertiite","2015"
"Ferri-pedrizite","Ferri-pedrizite","2001"
"Ferriperbøeite-(Ce)","Ferriperboeite-(Ce)","2017"
"Ferriperbøeite-(La)","Ferriperboeite-(La)","2018"
"Ferriprehnite","Ferriprehnite","2020"
"Ferripyrophyllite","Ferripyrophyllite","1978"
"Ferrirockbridgeite","Ferrirockbridgeite","2018"
"Ferrisanidine","Ferrisanidine","2019"
"Ferrisepiolite","Ferrisepiolite","2010"
"Ferrisicklerite","Ferrisicklerite","1937"
"Ferristrunzite","Ferristrunzite","1986"
"Ferrisurite","Ferrisurite","1990"
"Ferrisymplesite","Ferrisymplesite","1924"
"Ferrivauxite","Ferrivauxite","2014"
"Ferri-winchite","Ferri-winchite","2004"
"Ferro-actinolite","Ferro-actinolite","1946"
"Ferroalluaudite","Ferroalluaudite","1957"
"Ferroaluminoceladonite","Ferroaluminoceladonite","1995"
"Ferro-anthophyllite","Ferro-anthophyllite","1921"
"Ferrobobfergusonite","Ferrobobfergusonite","2017"
"Ferrobustamite","Ferrobustamite","1937"
"Ferrocarpholite","Ferrocarpholite","1951"
"Ferroceladonite","Ferroceladonite","1995"
"Ferrochiavennite","Ferrochiavennite","2012"
"Ferro-edenite","Ferro-edenite","1946"
"Ferroefremovite","Ferroefremovite","2019"
"Ferroericssonite","Ferroericssonite","2010"
"Ferro-ferri-fluoro-leakeite","Ferro-ferri-fluoro-leakeite","1993"
"Ferro-ferri-hornblende","Ferro-ferri-hornblende","2015"
"Ferro-ferri-katophorite","Ferro-ferri-katophorite","2016"
"Ferro-ferri-nybøite","Ferro-ferri-nyboite","2013"
"Ferro-ferri-obertiite","Ferro-ferri-obertiite","2009"
"Ferro-ferri-pedrizite","Ferro-ferri-pedrizite","2003"
"Ferro-fluoro-edenite","Ferro-fluoro-edenite","2020"
"Ferro-fluoro-pedrizite","Ferro-fluoro-pedrizite","2008"
"Ferro-gedrite","Ferro-gedrite","1939"
"Ferro-glaucophane","Ferro-glaucophane","1957"
"Ferrohexahydrite","Ferrohexahydrite","1947"
"Ferrohögbomite-2N2S","Ferrohogbomite-2N2S","2001"
"Ferro-holmquistite","Ferro-holmquistite","2004"
"Ferro-hornblende","Ferro-hornblende","1978"
"Ferroindialite","Ferroindialite","2013"
"Ferro-katophorite","Ferro-katophorite","1894"
"Ferrokentbrooksite","Ferrokentbrooksite","1999"
"Ferrokësterite","Ferrokesterite","1985"
"Ferrokinoshitalite","Ferrokinoshitalite","1999"
"Ferrolaueite","Ferrolaueite","1987"
"Ferromerrillite","Ferromerrillite","2006"
"Ferronickelplatinum","Ferronickelplatinum","1982"
"Ferronigerite-2<i>N</i>1S","Ferronigerite-2N1S","1947"
"Ferronigerite-6<i>N</i>6S","Ferronigerite-6N6S","1947"
"Ferronordite-(Ce)","Ferronordite-(Ce)","1997"
"Ferronordite-(La)","Ferronordite-(La)","2000"
"Ferro-papikeite","Ferro-papikeite","2020"
"Ferro-pargasite","Ferro-pargasite","1961"
"Ferro-pedrizite","Ferro-pedrizite","2014"
"Ferroqingheiite","Ferroqingheiite","2009"
"Ferrorhodonite","Ferrorhodonite","2016"
"Ferro-richterite","Ferro-richterite","1946"
"Ferrorockbridgeite","Ferrorockbridgeite","2018"
"Ferrorosemaryite","Ferrorosemaryite","2003"
"Ferrosaponite","Ferrosaponite","2002"
"Ferroselite","Ferroselite","1955"
"Ferrosilite","Ferrosilite","1935"
"Ferroskutterudite","Ferroskutterudite","2006"
"Ferrostalderite","Ferrostalderite","2014"
"Ferrostrunzite","Ferrostrunzite","1983"
"Ferrotaaffeite-2<i>N</i>'2S","Ferrotaaffeite-2N2S","2011"
"Ferrotaaffeite-6<i>N</i>'3S","Ferrotaaffeite-6N3S","1979"
"Ferro-taramite","Ferro-taramite","2006"
"Ferrotitanowodginite","Ferrotitanowodginite","1998"
"Ferrotochilinite","Ferrotochilinite","2010"
"Ferro-tschermakite","Ferro-tschermakite","2016"
"Ferrotychite","Ferrotychite","1980"
"Ferrovalleriite","Ferrovalleriite","1970"
"Ferrovorontsovite","Ferrovorontsovite","2017"
"Ferrowodginite","Ferrowodginite","1984"
"Ferrowyllieite","Ferrowyllieite","1979"
"Ferruccite","Ferruccite","1933"
"Fersmanite","Fersmanite","1929"
"Fersmite","Fersmite","1946"
"Feruvite","Feruvite","1987"
"Fervanite","Fervanite","1931"
"Fetiasite","Fetiasite","1991"
"Fettelite","Fettelite","1994"
"Feynmanite","Feynmanite","2017"
"Fianelite","Fianelite","1995"
"Fibroferrite","Fibroferrite","1833"
"Fichtelite","Fichtelite","1841"
"Fiedlerite","Fiedlerite","1887"
"Fiemmeite","Fiemmeite","2018"
"Filatovite","Filatovite","2002"
"Filipstadite","Filipstadite","1987"
"Fillowite","Fillowite","1879"
"Finchite","Finchite","2017"
"Fingerite","Fingerite","1983"
"Finnemanite","Finnemanite","1923"
"Fischesserite","Fischesserite","1971"
"Fivegite","Fivegite","2009"
"Fizélyite","Fizelyite","1923"
"Flagstaffite","Flagstaffite","1920"
"Flamite","Flamite","2013"
"Fleetite","Fleetite","2020"
"Fleischerite","Fleischerite","1960"
"Fleisstalite","Fleisstalite","2016"
"Fletcherite","Fletcherite","1976"
"Flinkite","Flinkite","1889"
"Flinteite","Flinteite","2014"
"Florencite-(Ce)","Florencite-(Ce)","1899"
"Florencite-(La)","Florencite-(La)","1980"
"Florencite-(Nd)","Florencite-(Nd)","1971"
"Florencite-(Sm)","Florencite-(Sm)","2009"
"Florenskyite","Florenskyite","1999"
"Florensovite","Florensovite","1987"
"Flörkeite","Florkeite","2008"
"Fluckite","Fluckite","1978"
"Fluellite","Fluellite","1824"
"Fluoborite","Fluoborite","1926"
"Fluocerite-(Ce)","Fluocerite-(Ce)","1832"
"Fluocerite-(La)","Fluocerite-(La)","1969"
"Fluorannite","Fluorannite","1999"
"Fluorapatite","Fluorapatite","1786"
"Fluorapophyllite-(Cs)","Fluorapophyllite-(Cs)","2019"
"Fluorapophyllite-(K)","Fluorapophyllite-(K)","1806"
"Fluorapophyllite-(Na)","Fluorapophyllite-(Na)","1976"
"Fluorapophyllite-(NH_4_)","Fluorapophyllite-(NH4)","2020"
"Fluorarrojadite-(BaFe)","Fluorarrojadite-(BaFe)","2005"
"Fluorarrojadite-(BaNa)","Fluorarrojadite-(BaNa)","2016"
"Fluorbarytolamprophyllite","Fluorbarytolamprophyllite","2017"
"Fluorbritholite-(Ce)","Fluorbritholite-(Ce)","1991"
"Fluorbritholite-(Y)","Fluorbritholite-(Y)","2009"
"Fluor-buergerite","Fluor-buergerite","1965"
"Fluorcalciobritholite","Fluorcalciobritholite","2006"
"Fluorcalciomicrolite","Fluorcalciomicrolite","2012"
"Fluorcalciopyrochlore","Fluorcalciopyrochlore","2013"
"Fluorcalcioroméite","Fluorcalcioromeite","2012"
"Fluorcanasite","Fluorcanasite","2007"
"Fluorcaphite","Fluorcaphite","1996"
"Fluorcarletonite","Fluorcarletonite","2019"
"Fluorcarmoite-(BaNa)","Fluorcarmoite-(BaNa)","2015"
"Fluorchegemite","Fluorchegemite","2011"
"Fluor-dravite","Fluor-dravite","2009"
"Fluor-elbaite","Fluor-elbaite","2011"
"Fluorellestadite","Fluorellestadite","1987"
"Fluorite","Fluorite","1530"
"Fluorkyuygenite","Fluorkyuygenite","2013"
"Fluorlamprophyllite","Fluorlamprophyllite","2013"
"Fluor-liddicoatite","Fluor-liddicoatite","1976"
"Fluorluanshiweiite","Fluorluanshiweiite","2019"
"Fluormayenite","Fluormayenite","2013"
"Fluornatrocoulsellite","Fluornatrocoulsellite","2009"
"Fluornatromicrolite","Fluornatromicrolite","1998"
"Fluornatropyrochlore","Fluornatropyrochlore","2013"
"Fluoro-cannilloite","Fluoro-cannilloite","1993"
"Fluorocronite","Fluorocronite","2010"
"Fluoro-edenite","Fluoro-edenite","1994"
"Fluorokinoshitalite","Fluorokinoshitalite","2010"
"Fluoro-leakeite","Fluoro-leakeite","2009"
"Fluoro-nybøite","Fluoro-nyboite","2002"
"Fluoro-pargasite","Fluoro-pargasite","2003"
"Fluoro-pedrizite","Fluoro-pedrizite","2004"
"Fluorophlogopite","Fluorophlogopite","2006"
"Fluoro-richterite","Fluoro-richterite","1992"
"Fluoro-riebeckite","Fluoro-riebeckite","1978"
"Fluoro-taramite","Fluoro-taramite","2006"
"Fluorotetraferriphlogopite","Fluorotetraferriphlogopite","2010"
"Fluoro-tremolite","Fluoro-tremolite","2016"
"Fluorowardite","Fluorowardite","2012"
"Fluorphosphohedyphane","Fluorphosphohedyphane","2008"
"Fluor-schorl","Fluor-schorl","2010"
"Fluorstrophite","Fluorstrophite","1962"
"Fluor-tsilaisite","Fluor-tsilaisite","2012"
"Fluor-uvite","Fluor-uvite","1930"
"Fluorvesuvianite","Fluorvesuvianite","2000"
"Fluorwavellite","Fluorwavellite","2015"
"Flurlite","Flurlite","2014"
"Foggite","Foggite","1973"
"Fogoite-(Y)","Fogoite-(Y)","2014"
"Foitite","Foitite","1992"
"Folvikite","Folvikite","2016"
"Fontanite","Fontanite","1991"
"Fontarnauite","Fontarnauite","2009"
"Foordite","Foordite","1984"
"Footemineite","Footemineite","2006"
"Forêtite","Foretite","2011"
"Formanite-(Y)","Formanite-(Y)","1944"
"Formicaite","Formicaite","1998"
"Fornacite","Fornacite","1915"
"Forsterite","Forsterite","1824"
"Foshagite","Foshagite","1925"
"Fougèrite","Fougerite","2003"
"Fourmarierite","Fourmarierite","1924"
"Fowlerite","Fowlerite","1832"
"Fraipontite","Fraipontite","1927"
"Francevillite","Francevillite","1957"
"Franciscanite","Franciscanite","1985"
"Francisite","Francisite","1989"
"Franckeite","Franckeite","1893"
"Francoanellite","Francoanellite","1974"
"Françoisite-(Ce)","Francoisite-(Ce)","2004"
"Françoisite-(Nd)","Francoisite-(Nd)","1987"
"Franconite","Franconite","1981"
"Frankamenite","Frankamenite","1994"
"Frankdicksonite","Frankdicksonite","1974"
"Frankhawthorneite","Frankhawthorneite","1993"
"Franklinfurnaceite","Franklinfurnaceite","1986"
"Franklinite","Franklinite","1819"
"Franklinphilite","Franklinphilite","1990"
"Fransoletite","Fransoletite","1982"
"Franzinite","Franzinite","1976"
"Freboldite","Freboldite","1957"
"Fredrikssonite","Fredrikssonite","1983"
"Freedite","Freedite","1984"
"Freieslebenite","Freieslebenite","1845"
"Freitalite","Freitalite","2020"
"Fresnoite","Fresnoite","1964"
"Freudenbergite","Freudenbergite","1961"
"Friedelite","Friedelite","1876"
"Friedrichbeckeite","Friedrichbeckeite","2008"
"Friedrichite","Friedrichite","1977"
"Fritzscheite","Fritzscheite","1865"
"Frohbergite","Frohbergite","1947"
"Frolovite","Frolovite","1957"
"Frondelite","Frondelite","1949"
"Froodite","Froodite","1958"
"Fuenzalidaite","Fuenzalidaite","1993"
"Fuettererite","Fuettererite","2011"
"Fukalite","Fukalite","1976"
"Fukuchilite","Fukuchilite","1967"
"Fulbrightite","Fulbrightite","2019"
"Fülöppite","Fuloppite","1929"
"Furongite","Furongite","1976"
"Furutobeite","Furutobeite","1978"
"Gabrielite","Gabrielite","2002"
"Gabrielsonite","Gabrielsonite","1966"
"Gachingite","Gachingite","2021"
"Gadolinite-(Ce)","Gadolinite-(Ce)","1978"
"Gadolinite-(Nd)","Gadolinite-(Nd)","2016"
"Gadolinite-(Y)","Gadolinite-(Y)","1802"
"Gagarinite-(Ce)","Gagarinite-(Ce)","1993"
"Gagarinite-(Y)","Gagarinite-(Y)","1961"
"Gageite","Gageite","1910"
"Gahnite","Gahnite","1807"
"Gaidonnayite","Gaidonnayite","1973"
"Gaildunningite","Gaildunningite","2018"
"Gainesite","Gainesite","1978"
"Gaitite","Gaitite","1978"
"Gajardoite","Gajardoite","2015"
"Galaxite","Galaxite","1932"
"Galeaclolusite","Galeaclolusite","2020"
"Galeite","Galeite","1955"
"Galena","Galena","0"
"Galenobismutite","Galenobismutite","1878"
"Galgenbergite-(Ce)","Galgenbergite-(Ce)","1997"
"Galileiite","Galileiite","1996"
"Galkhaite","Galkhaite","1971"
"Galliskiite","Galliskiite","2009"
"Gallite","Gallite","1958"
"Gallobeudantite","Gallobeudantite","1994"
"Galloplumbogummite","Galloplumbogummite","2010"
"Galuskinite","Galuskinite","2010"
"Gamagarite","Gamagarite","1943"
"Gananite","Gananite","1983"
"Ganomalite","Ganomalite","1876"
"Ganophyllite","Ganophyllite","1890"
"Ganterite","Ganterite","2000"
"Gaotaiite","Gaotaiite","1993"
"Garavellite","Garavellite","1978"
"Garmite","Garmite","2017"
"Garpenbergite","Garpenbergite","2021"
"Garrelsite","Garrelsite","1955"
"Garronite-Ca","Garronite-Ca","1962"
"Garronite-Na","Garronite-Na","2015"
"Gartrellite","Gartrellite","1988"
"Garutiite","Garutiite","2008"
"Garyansellite","Garyansellite","1981"
"Gasparite-(Ce)","Gasparite-(Ce)","1986"
"Gasparite-(La)","Gasparite-(La)","2018"
"Gaspéite","Gaspeite","1965"
"Gatedalite","Gatedalite","2013"
"Gatehouseite","Gatehouseite","1992"
"Gatelite-(Ce)","Gatelite-(Ce)","2001"
"Gatewayite","Gatewayite","2014"
"Gatumbaite","Gatumbaite","1976"
"Gaudefroyite","Gaudefroyite","1964"
"Gaultite","Gaultite","1992"
"Gauthierite","Gauthierite","2016"
"Gayite","Gayite","2008"
"Gaylussite","Gaylussite","1826"
"Gazeevite","Gazeevite","2015"
"Gearksutite","Gearksutite","1868"
"Gebhardite","Gebhardite","1979"
"Gedrite","Gedrite","1836"
"Geerite","Geerite","1978"
"Geffroyite","Geffroyite","1980"
"Gehlenite","Gehlenite","1815"
"Geigerite","Geigerite","1985"
"Geikielite","Geikielite","1893"
"Gelosaite","Gelosaite","2009"
"Geminite","Geminite","1988"
"Gengenbachite","Gengenbachite","2001"
"Genkinite","Genkinite","1976"
"Genplesite","Genplesite","2014"
"Genthelvite","Genthelvite","1944"
"Geocronite","Geocronite","1841"
"Georgbarsanovite","Georgbarsanovite","2003"
"Georgbokiite","Georgbokiite","1996"
"Georgechaoite","Georgechaoite","1984"
"George-ericksenite","George-ericksenite","1996"
"Georgeite","Georgeite","1977"
"Georgerobinsonite","Georgerobinsonite","2009"
"Georgiadesite","Georgiadesite","1907"
"Gerasimovskite","Gerasimovskite","1957"
"Gerdtremmelite","Gerdtremmelite","1983"
"Gerenite-(Y)","Gerenite-(Y)","1993"
"Gerhardtite","Gerhardtite","1885"
"Germanite","Germanite","1922"
"Germanocolusite","Germanocolusite","1991"
"Gersdorffite-P2<sub>1</sub>3","Gersdorffite-P213","1845"
"Gersdorffite-Pa3","Gersdorffite-Pa3","1986"
"Gersdorffite-Pca2<sub>1</sub>","Gersdorffite-Pca21","1986"
"Gerstleyite","Gerstleyite","1956"
"Gerstmannite","Gerstmannite","1975"
"Geschieberite","Geschieberite","2014"
"Getchellite","Getchellite","1965"
"Geversite","Geversite","1961"
"Ghiaraite","Ghiaraite","2012"
"Giacovazzoite","Giacovazzoite","2019"
"Gianellaite","Gianellaite","1972"
"Gibbsite","Gibbsite","1822"
"Giessenite","Giessenite","1963"
"Giftgrubeite","Giftgrubeite","2017"
"Gilalite","Gilalite","1979"
"Gillardite","Gillardite","2006"
"Gillespite","Gillespite","1922"
"Gillulyite","Gillulyite","1989"
"Gilmarite","Gilmarite","1996"
"Giniite","Giniite","1977"
"Ginorite","Ginorite","1934"
"Giorgiosite","Giorgiosite","1905"
"Giraudite-(Zn)","Giraudite-(Zn)","1980"
"Girvasite","Girvasite","1988"
"Gismondine","Gismondine","1817"
"Gittinsite","Gittinsite","1979"
"Giuseppettite","Giuseppettite","1979"
"Gjerdingenite-Ca","Gjerdingenite-Ca","2005"
"Gjerdingenite-Fe","Gjerdingenite-Fe","2001"
"Gjerdingenite-Mn","Gjerdingenite-Mn","2003"
"Gjerdingenite-Na","Gjerdingenite-Na","2005"
"Gladite","Gladite","1924"
"Gladiusite","Gladiusite","1998"
"Gladkovskyite","Gladkovskyite","2018"
"Glagolevite","Glagolevite","2001"
"Glauberite","Glauberite","1808"
"Glaucocerinite","Glaucocerinite","1932"
"Glaucochroite","Glaucochroite","1899"
"Glaucodot","Glaucodot","1849"
"Glaucophane","Glaucophane","1845"
"Glaukosphaerite","Glaukosphaerite","1972"
"Glikinite","Glikinite","2019"
"Glucine","Glucine","1963"
"Glushinskite","Glushinskite","1960"
"Gmalimite","Gmalimite","2019"
"Gmelinite-Ca","Gmelinite-Ca","1978"
"Gmelinite-K","Gmelinite-K","1999"
"Gmelinite-Na","Gmelinite-Na","1825"
"Gobbinsite","Gobbinsite","1980"
"Gobelinite","Gobelinite","2019"
"Godlevskite","Godlevskite","1968"
"Godovikovite","Godovikovite","1987"
"Goedkenite","Goedkenite","1974"
"Goethite","Goethite","1806"
"Gold","Gold","0"
"Goldfieldite","Goldfieldite","1909"
"Goldhillite","Goldhillite","2021"
"Goldichite","Goldichite","1955"
"Goldmanite","Goldmanite","1963"
"Goldquarryite","Goldquarryite","2001"
"Goldschmidtite","Goldschmidtite","2018"
"Golyshevite","Golyshevite","2004"
"Gonnardite","Gonnardite","1896"
"Gonyerite","Gonyerite","1955"
"Goosecreekite","Goosecreekite","1980"
"Gorbunovite","Gorbunovite","2017"
"Gorceixite","Gorceixite","1906"
"Gordaite","Gordaite","1996"
"Gordonite","Gordonite","1930"
"Gorerite","Gorerite","2019"
"Görgeyite","Gorgeyite","1953"
"Gormanite","Gormanite","1977"
"Gortdrumite","Gortdrumite","1979"
"Goryainovite","Goryainovite","2015"
"Goslarite","Goslarite","1845"
"Gottardiite","Gottardiite","1994"
"Gottlobite","Gottlobite","1998"
"Götzenite","Gotzenite","1957"
"Goudeyite","Goudeyite","1978"
"Gowerite","Gowerite","1959"
"Goyazite","Goyazite","1884"
"Graemite","Graemite","1974"
"Graeserite","Graeserite","1996"
"Graftonite","Graftonite","1900"
"Graftonite-(Ca)","Graftonite-(Ca)","2017"
"Graftonite-(Mn)","Graftonite-(Mn)","2017"
"Gramaccioliite-(Y)","Gramaccioliite-(Y)","2001"
"Grammatikopoulosite","Grammatikopoulosite","2020"
"Grandaite","Grandaite","2013"
"Grandidierite","Grandidierite","1902"
"Grandreefite","Grandreefite","1988"
"Grandviewite","Grandviewite","2007"
"Grantsite","Grantsite","1964"
"Graphite","Graphite","1789"
"Graţianite","Gratianite","2013"
"Gratonite","Gratonite","1939"
"Grattarolaite","Grattarolaite","1995"
"Graulichite-(Ce)","Graulichite-(Ce)","2002"
"Graulichite-(La)","Graulichite-(La)","2021"
"Gravegliaite","Gravegliaite","1990"
"Grayite","Grayite","1957"
"Grechishchevite","Grechishchevite","1988"
"Greenalite","Greenalite","1903"
"Greenlizardite","Greenlizardite","2017"
"Greenockite","Greenockite","1840"
"Greenwoodite","Greenwoodite","2010"
"Gregoryite","Gregoryite","1980"
"Greifensteinite","Greifensteinite","2001"
"Greigite","Greigite","1963"
"Grenmarite","Grenmarite","2003"
"Grguricite","Grguricite","2020"
"Griceite","Griceite","1986"
"Grigorievite","Grigorievite","2012"
"Grimaldiite","Grimaldiite","1967"
"Grimmite","Grimmite","2020"
"Grimselite","Grimselite","1971"
"Griphite","Griphite","1891"
"Grischunite","Grischunite","1981"
"Groatite","Groatite","2008"
"Grokhovskyite","Grokhovskyite","2019"
"Grootfonteinite","Grootfonteinite","2015"
"Grossite","Grossite","1993"
"Grossmanite","Grossmanite","2008"
"Grossular","Grossular","1811"
"Groutite","Groutite","1945"
"Grumantite","Grumantite","1985"
"Grumiplucite","Grumiplucite","1997"
"Grundmannite","Grundmannite","2015"
"Grunerite","Grunerite","1853"
"Gruzdevite","Gruzdevite","1980"
"Guanacoite","Guanacoite","2003"
"Guanajuatite","Guanajuatite","1873"
"Guanine","Guanine","1973"
"Guarinoite","Guarinoite","1991"
"Gudmundite","Gudmundite","1928"
"Guérinite","Guerinite","1961"
"Guettardite","Guettardite","1966"
"Gugiaite","Gugiaite","1962"
"Guidottiite","Guidottiite","2009"
"Guildite","Guildite","1928"
"Guilleminite","Guilleminite","1964"
"Guimarãesite","Guimaraesite","2006"
"Guite","Guite","2017"
"Gungerite","Gungerite","2020"
"Gunningite","Gunningite","1962"
"Günterblassite","Gunterblassite","2011"
"Gunterite","Gunterite","2011"
"Gupeiite","Gupeiite","1983"
"Gurimite","Gurimite","2013"
"Gustavite","Gustavite","1967"
"Gutkovaite-Mn","Gutkovaite-Mn","2001"
"Guyanaite","Guyanaite","1967"
"Gwihabaite","Gwihabaite","1994"
"Gypsum","Gypsum","0"
"Gyrolite","Gyrolite","1851"
"Gysinite-(Nd)","Gysinite-(Nd)","1981"
"Haapalaite","Haapalaite","1972"
"Hafnon","Hafnon","1974"
"Hagendorfite","Hagendorfite","1954"
